,Count
Environmental Values,3
Climate Policy,3
Climate and Development,2
Environmental Policy and Law,2
Development and Change,2
Review of African Political Economy,2
Third World Quarterly,1
Chinese Journal of International Law,1
Geoforum,1
Climatic Change,1
Dickinson Law Review,1
California Law Review,1
Philosophies,1
One Earth,1
Philosophy,1
Journal of the British Academy,1
Carbon and Climate Law Review,1
World Affairs,1
American Political Science Review,1
Journal of Architectural Education,1
"Review of European, Comparative and International Environmental Law",1
Climate Law,1
South African Journal on Human Rights ,1
Economics & Philosophy,1
Res Publica,1
Journal of International Economic Law,1
Africa Spectrum,1
Ethics and Information Technology,1
City,1
International Political Theory,1
Review of Black Political Economy,1
Politics,1
International Review of the Red Cross,1
Routledge Handbook on the Green New Deal,1
International Environmental Law and the Global South,1
Journal of Human Development and Capabilities,1
Business and Human Rights Journal,1
J Agric Environ Ethics,1
Journal of the Society of Christian Ethics,1
Asian Journal OF International Law ,1
Griffith Law Review,1
Health and Human Rights,1
Enacting Environmental Justice through Global Citizenship,1
Melbourne Journal of International Law,1
BMJ-British Medical Journal,1
Wiley Interdisciplinary Reviews: Climate Change,1
Handbook of Philosophy of Climate Change,1
Nature Sustainability,1
Transnational Environmental Law,1
Development (Basingstoke),1
Globalizations,1
Political Geography,1
Perspectives on Global Debelopment and Technology,1
Bulletin of the Atomic Scientists,1
Journal of Human Rights and the Environment,1
American Journal of International Law Unbound,1
South African Journal on Human Rights,1
European Convention on Human Rights Law Review,1
